Term,Location or origin,Targets,"Meaning, origin and notes",References
"Abbie, Abe, Abie","United States, Canada",Jewish men,Originated before the 1950s. From the proper name Abraham.,
ABC,East Asia,"American-born Chinese, Han or other Chinese (including Taiwanese) born and raised in the United States.","The term implies an otherness or lack of connection to their Chinese identity and (usually) Chinese language; however, it has been reappropriated by many Chinese Americans and used to convey positive connotations.",
ABCD,South Asians in the US,"American-Born Confused Desi, Indian Americans or other South Asian Americans, (desi) who were born in the United States.",Used chiefly by South Asian immigrants to imply confusion about cultural identity,
Abid/Abeed (plural),Middle East and North Africa,Black African people,"Arabic for slave, associated with the Arab slave trade",
Abo/Abbo,Australia,Australian Aboriginal person,"Originally, this was simply an informal term for Aborigine, and was in fact used by Aboriginal people themselves (such as in the Aboriginal-run newspaper Abo Call) until it started to be considered offensive in the 1950s. Although Abo is still considered quite offensive by many, the pejorative boong is now more commonly used when the intent is deliberately to offend, as that word's status as an insult is unequivocal.",
"Afro engineering, African engineering or nigger rigging",United States,African Americans,"Shoddy, second-rate or unconventional, makeshift workmanship. Indirectly refers to black American people as worse or lower-valued than white American people when associating anything bad with them.",
Ah Chah,Hong Kong,South Asian people,"From 阿差; Cantonese Yale: achā; from ""acchā"" meaning ""good"" or ""OK"" in Hindi.",
Ali Baba,United States,Iraqi people,An Iraqi suspected of criminal activity.,
"Alligator bait, 'gator bait",United States (chiefly southern U.S.),"Black people, especially black children",Dates from early 20th century or before; implies that African Americans are good for nothing except being used to bait alligators,
Alpine Serb,Serbo-Croatian: Alpski Srbin (ex-Yugoslavia),People of Slovenian origin.,,
Ang mo,"Malaysia, Singapore","European people, especially the Dutch","Hokkien for ""red hair"" referring to Dutch people from the 17th century and expanded to encompass other Europeans by the 19th century. It has become a neutral term, though is sometimes seen as derogatory.",
Ann,"United States, Canada","White women, ""white-acting"" black women","While Miss Ann, also just plain Ann, is a derisive reference to white women, it is also applied to any black woman who is deemed to be acting as though she is white.",
"Annamite, mites","French, English",Vietnamese people,,
Ape,United States,Black people,"Referring to outdated theories ascribing cultural differences between racial groups as being linked to their evolutionary distance from chimpanzees, with which humans share common ancestry.",
Apple,"United States, Canada",Native Americans,"First used in the 1970s. Someone who is ""red on the outside, white on the inside"". Used primarily by other Native Americans to indicate someone who has lost touch with their cultural identity.",
Arabush / Aravush (ערבוש),Israel,Arabs,"Arabs, derived from Hebrew ""Aravi"" (Arab).",
Argie/Argies (plural),United Kingdom,Argentine people,Extensively used by the British soldiers during the Falklands War in 1982.,
Armo,United States,Armenian/Armenian American,Especially used in Southern California.,
"Asing, Aseng",Indonesia,"Non-Indonesian people, especially Chinese people","Insult to non-Indonesian citizen, from ""[orang] asing"" (foreigner) that rhymed with ""Aseng"" (Chinese name). This word is often directed at Chinese people due to Indonesia's relationship with the PRC.",
Ashke-Nazi (אשכנאצי),Israel,Ashkenazi Jews,"Pronounced like ""AshkeNatzi"". Used mostly by Mizrachi Jews.",
Aunt Jemima/Aunt Jane/Aunt Mary/Aunt Sally,United States,Black women,"A black woman who ""kisses up"" to whites, a ""sellout"", female counterpart of Uncle Tom.",
