Term,Location or origin,Targets,"Meaning, origin and notes",References
Hairyback,South Africa,Afrikaners,,
"Hajji, Hadji, Haji",United States Military,"Iraqis, Arabs, Afghans, or Middle Eastern and South Asian people","Derived from the honorific Al-Hajji, the title given to a Muslim who has completed the Hajj (pilgrimage to Mecca).",
Half-breed,,Multi-ethnic people,"Métis is a French term, also used in Canadian English, for a half-breed, and mestizo is the equivalent in Spanish, although these are not offensive per se.",[citation needed]
Half-caste,"England, Australia",Mixed race (usually between Australian Aboriginal and white people in Australian parlance),Originally used as a legal and social term.,
Haole,"United States, Hawaiian","Non-Hawaiian people, almost always white people.","Can be used neutrally, dependent on context.",
"Heeb, Hebe",United States,Jewish people,"Derived from the word ""Hebrew.""",
Hike,United States,Italian immigrants,"Sometimes used with or to distinguish from ""Hunk"" (""Hunky"").",
Hillbilly,United States,Appalachian or Ozark Americans,,
"Honky, honkey, honkie",United States,White people,"Derived from an African American pronunciation of ""hunky,"" the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.",[unreliable source?]
"Honky, honkey, honkie",New Zealand,European New Zealanders,Used by Māori to refer to New Zealanders of European descent.,
Hori,New Zealand,Māori,From the formerly common Maorified version of the English name George.,
Huinca,"Argentina, Chile","Non-Mapuche Chileans, non-Mapuche Argentines",Mapuche term dating back at least to the Conquest of Chile.,
Hun,"United States, United Kingdom",German people,"(United States, United Kingdom) Germans, especially German soldiers; popular during World War I. Derived from a speech given by Kaiser Wilhelm of Germany to the German contingent sent to China during the Boxer Rebellion in which he exhorted them to ""be like Huns"" (i.e., savage and ruthless) to their Chinese enemy.",
Hun,Ireland,Protestants and British soldiers,"A Protestant in Northern Ireland or historically, a member of the British military in Ireland (""Britannia's huns"").",
"Hunky, Hunk",United States,Central European laborers.,"It originated in the coal regions of Pennsylvania and West Virginia, where Poles and other immigrants from Central Europe (Hungarians (Magyar), Rusyns, Slovaks) came to perform hard manual labor in the mines.",
Hymie,United States,Jewish people,"Derived from the personal name Hyman (from the Hebrew name Chayyim). Jesse Jackson provoked controversy when he referred to New York City as ""Hymietown"" in 1984. Has also been spelled ""Heimie"", as a reflection of popular Jewish last names ending in -heim.",
